dt,lineName,stationName,statusN,statusS
2015-01-01 00:00:00,ESPAÑA,A. Maceda,40.473885032214355,39.471513670191406
2015-01-01 00:15:00,ESPAÑA,A. Maceda,40.422707344925236,39.49275730610781
2015-01-01 00:30:00,ESPAÑA,A. Maceda,40.37375625012713,39.513668639943035
2015-01-01 00:45:00,ESPAÑA,A. Maceda,40.3269938039947,39.53424966932583
2015-01-01 01:00:00,ESPAÑA,A. Maceda,40.28238206270259,39.554502391884995
2015-01-01 01:15:00,ESPAÑA,A. Maceda,40.23988308242547,39.57442880524926
2015-01-01 01:30:00,ESPAÑA,A. Maceda,40.199458919338014,39.59403090704743
2015-01-01 01:45:00,ESPAÑA,A. Maceda,40.16107162961486,39.61331069490823
2015-01-01 02:00:00,ESPAÑA,A. Maceda,40.124683269430676,39.632270166460444
2015-01-01 02:15:00,ESPAÑA,A. Maceda,40.090255894960116,39.65091131933285
2015-01-01 02:30:00,ESPAÑA,A. Maceda,40.05775156237785,39.6692361511542
2015-01-01 02:45:00,ESPAÑA,A. Maceda,40.02713232785851,39.687246659553274
2015-01-01 03:00:00,ESPAÑA,A. Maceda,39.99836024757678,39.70494484215882
2015-01-01 03:15:00,ESPAÑA,A. Maceda,39.97139737770732,39.722332696599615
2015-01-01 03:30:00,ESPAÑA,A. Maceda,39.946205774424755,39.73941222050442
2015-01-01 03:45:00,ESPAÑA,A. Maceda,39.92274749390378,39.75618541150202
2015-01-01 04:00:00,ESPAÑA,A. Maceda,39.90098459231903,39.77265426722116
2015-01-01 04:15:00,ESPAÑA,A. Maceda,39.880879125845176,39.7888207852906
2015-01-01 04:30:00,ESPAÑA,A. Maceda,39.862393150656885,39.80468696333913
2015-01-01 04:45:00,ESPAÑA,A. Maceda,39.84548872292879,39.82025479899549
2015-01-01 05:00:00,ESPAÑA,A. Maceda,39.83012789883559,39.835526289888485
2015-01-01 05:15:00,ESPAÑA,A. Maceda,39.816272734551895,39.85050343364685
2015-01-01 05:30:00,ESPAÑA,A. Maceda,39.803885286252395,39.86518822789935
2015-01-01 05:45:00,ESPAÑA,A. Maceda,39.79292761011173,39.879582670274765
2015-01-01 06:00:00,ESPAÑA,A. Maceda,39.783361762304565,39.89368875840187
2015-01-01 06:15:00,ESPAÑA,A. Maceda,39.77514979900558,39.90750848990941
2015-01-01 06:30:00,ESPAÑA,A. Maceda,39.76825377638941,39.92104386242615
2015-01-01 06:45:00,ESPAÑA,A. Maceda,39.762635750630714,39.93429687358088
2015-01-01 07:00:00,ESPAÑA,A. Maceda,39.75825777790416,39.94726952100235
2015-01-01 07:15:00,ESPAÑA,A. Maceda,39.7550819143844,39.95996380231932
2015-01-01 07:30:00,ESPAÑA,A. Maceda,39.75307021624608,39.97238171516059
2015-01-01 07:45:00,ESPAÑA,A. Maceda,39.75218473966388,39.98452525715487
2015-01-01 08:00:00,ESPAÑA,A. Maceda,39.75238754081246,39.99639642593097
2015-01-01 08:15:00,ESPAÑA,A. Maceda,39.753640675866464,40.00799721911765
2015-01-01 08:30:00,ESPAÑA,A. Maceda,39.75590620100056,40.019329634343656
2015-01-01 08:45:00,ESPAÑA,A. Maceda,39.75914617238939,40.03039566923779
2015-01-01 09:00:00,ESPAÑA,A. Maceda,39.763322646207634,40.04119732142878
2015-01-01 09:15:00,ESPAÑA,A. Maceda,39.76839767862996,40.05173658854542
2015-01-01 09:30:00,ESPAÑA,A. Maceda,39.77433332583098,40.06201546821645
2015-01-01 09:45:00,ESPAÑA,A. Maceda,39.78109164398539,40.07203595807068
2015-01-01 10:00:00,ESPAÑA,A. Maceda,39.788634689267845,40.08180005573684
2015-01-01 10:15:00,ESPAÑA,A. Maceda,39.796924517853,40.091309758843686
2015-01-01 10:30:00,ESPAÑA,A. Maceda,39.805923185915496,40.100567065020016
2015-01-01 10:45:00,ESPAÑA,A. Maceda,39.81559274963002,40.109573971894584
2015-01-01 11:00:00,ESPAÑA,A. Maceda,39.82589526517121,40.11833247709615
2015-01-01 11:15:00,ESPAÑA,A. Maceda,39.83679278871374,40.1268445782535
2015-01-01 11:30:00,ESPAÑA,A. Maceda,39.84824737643225,40.13511227299538
2015-01-01 11:45:00,ESPAÑA,A. Maceda,39.86022108450141,40.14313755895056
2015-01-01 12:00:00,ESPAÑA,A. Maceda,39.87267596909589,40.1509224337478
2015-01-01 12:15:00,ESPAÑA,A. Maceda,39.88557408639033,40.15846889501589
2015-01-01 12:30:00,ESPAÑA,A. Maceda,39.898877492559386,40.16577894038358
2015-01-01 12:45:00,ESPAÑA,A. Maceda,39.912548243777735,40.172854567479625
2015-01-01 13:00:00,ESPAÑA,A. Maceda,39.926548396220014,40.17969777393283
2015-01-01 13:15:00,ESPAÑA,A. Maceda,39.9408400060609,40.186310557371904
2015-01-01 13:30:00,ESPAÑA,A. Maceda,39.95538512947504,40.19269491542568
2015-01-01 13:45:00,ESPAÑA,A. Maceda,39.9701458226371,40.19885284572287
2015-01-01 14:00:00,ESPAÑA,A. Maceda,39.98508414172174,40.20478634589228
2015-01-01 14:15:00,ESPAÑA,A. Maceda,40.00016214290361,40.21049741356262
2015-01-01 14:30:00,ESPAÑA,A. Maceda,40.01534188235737,40.21598804636272
2015-01-01 14:45:00,ESPAÑA,A. Maceda,40.03058541625768,40.221260241921314
2015-01-01 15:00:00,ESPAÑA,A. Maceda,40.04585480077921,40.22631599786716
2015-01-01 15:15:00,ESPAÑA,A. Maceda,40.0611120920966,40.23115731182906
2015-01-01 15:30:00,ESPAÑA,A. Maceda,40.076319346384516,40.23578618143574
2015-01-01 15:45:00,ESPAÑA,A. Maceda,40.091438619817616,40.240204604316
2015-01-01 16:00:00,ESPAÑA,A. Maceda,40.10643196857057,40.24441457809858
2015-01-01 16:15:00,ESPAÑA,A. Maceda,40.12126144881801,40.24841810041226
