dt,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
2015-03-01 00:00:00,15.637105886549366,39.98124061754017,26.3,20.1,7.2,1015.7,1.9,6.0,2.0,0.6,12.0,0.0
2015-03-01 00:15:00,15.63897599990225,39.981099024384726,26.50833333,20.21666667,7.2,1015.708333,1.75,6.0,2.083333333,0.6,12.0,0.0
2015-03-01 00:30:00,15.640505564337008,39.98095828259972,26.71666667,20.33333333,7.2,1015.716667,1.6,6.0,2.166666667,0.6,12.0,0.0
2015-03-01 00:45:00,15.641701683372409,39.98081840330187,26.925,20.45,7.2,1015.725,1.45,6.0,2.25,0.6,12.0,0.0
2015-03-01 01:00:00,15.64257146052722,39.98067939760785,27.13333333,20.56666667,7.2,1015.733333,1.3,6.0,2.333333333,0.6,12.0,0.0
2015-03-01 01:15:00,15.643121999320195,39.98054127663442,27.34166667,20.68333333,7.2,1015.741667,1.15,6.0,2.416666667,0.6,12.0,0.0
2015-03-01 01:30:00,15.6433604032701,39.980404051498255,27.55,20.8,7.2,1015.75,1.0,6.0,2.5,0.6,12.0,0.0
2015-03-01 01:45:00,15.643293775895705,39.98026773331612,27.75833333,20.91666667,7.2,1015.758333,0.85,6.0,2.583333333,0.6,12.0,0.0
2015-03-01 02:00:00,15.642929220715759,39.980132333204715,27.96666667,21.03333333,7.2,1015.766667,0.7,6.0,2.666666667,0.6,12.0,0.0
2015-03-01 02:15:00,15.642273841249034,39.97999786228072,28.175,21.15,7.2,1015.775,0.55,6.0,2.75,0.6,12.0,0.0
2015-03-01 02:30:00,15.641334741014294,39.97986433166089,28.38333333,21.26666667,7.2,1015.783333,0.4,6.0,2.833333333,0.6,12.0,0.0
2015-03-01 02:45:00,15.640119023530294,39.97973175246192,28.59166667,21.38333333,7.2,1015.791667,0.25,6.0,2.916666667,0.6,12.0,0.0
2015-03-01 03:00:00,15.638633792315805,39.97960013580054,28.8,21.5,7.2,1015.8,0.1,6.0,3.0,0.6,12.0,0.0
2015-03-01 03:15:00,15.636886150889586,39.979469492793456,28.9,21.60833333,7.5,1015.5,-0.208333333,6.0,2.916666667,0.6,12.0,0.0
2015-03-01 03:30:00,15.634883202770393,39.9793398345574,29.0,21.71666667,7.8,1015.2,-0.5166666670000001,6.0,2.833333333,0.6,12.0,0.0
2015-03-01 03:45:00,15.63263205147699,39.97921117220907,29.1,21.825,8.1,1014.9,-0.825,6.0,2.75,0.6,12.0,0.0
2015-03-01 04:00:00,15.630139800528154,39.9790835168652,29.2,21.93333333,8.4,1014.6,-1.133333333,6.0,2.666666667,0.6,12.0,0.0
2015-03-01 04:15:00,15.627413553442645,39.97895687964247,29.3,22.04166667,8.7,1014.3,-1.4416666669999998,6.0,2.583333333,0.6,12.0,0.0
2015-03-01 04:30:00,15.624460413739204,39.97883127165765,29.4,22.15,9.0,1014.0,-1.75,6.0,2.5,0.6,12.0,0.0
2015-03-01 04:45:00,15.621287484936616,39.9787067040274,29.5,22.25833333,9.3,1013.7,-2.058333333,6.0,2.416666667,0.6,12.0,0.0
2015-03-01 05:00:00,15.617901870553634,39.97858318786849,29.6,22.36666667,9.6,1013.4,-2.366666667,6.0,2.333333333,0.6,12.0,0.0
2015-03-01 05:15:00,15.614310674109031,39.97846073429759,29.7,22.475,9.9,1013.1,-2.675,6.0,2.25,0.6,12.0,0.0
2015-03-01 05:30:00,15.610520999121555,39.97833935443144,29.8,22.58333333,10.2,1012.8,-2.983333333,6.0,2.166666667,0.6,12.0,0.0
2015-03-01 05:45:00,15.606539949109983,39.97821905938675,29.9,22.69166667,10.5,1012.5,-3.291666667,6.0,2.083333333,0.6,12.0,0.0
2015-03-01 06:00:00,15.602374627593065,39.978099860280224,30.0,22.8,10.8,1012.2,-3.6,6.0,2.0,0.6,12.0,0.0
2015-03-01 06:15:00,15.598032138089573,39.97798176822861,30.13333333,22.45,10.5,1012.158333,-3.341666667,5.833333333,2.0,0.6,12.0,0.0
2015-03-01 06:30:00,15.593519584118258,39.977864794348605,30.26666667,22.1,10.2,1012.116667,-3.083333333,5.666666667,2.0,0.6,12.0,0.0
2015-03-01 06:45:00,15.588844069197895,39.9777489497569,30.4,21.75,9.9,1012.075,-2.825,5.5,2.0,0.6,12.0,0.0
2015-03-01 07:00:00,15.584012696847243,39.977634245570265,30.53333333,21.4,9.6,1012.033333,-2.566666667,5.333333333,2.0,0.6,12.0,0.0
2015-03-01 07:15:00,15.579032570585065,39.97752069290537,30.66666667,21.05,9.3,1011.991667,-2.308333333,5.166666667,2.0,0.6,12.0,0.0
2015-03-01 07:30:00,15.573910793930118,39.97740830287896,30.8,20.7,9.0,1011.95,-2.05,5.0,2.0,0.6,12.0,0.0
2015-03-01 07:45:00,15.568654470401174,39.97729708660774,30.93333333,20.35,8.7,1011.908333,-1.791666667,4.833333333,2.0,0.6,12.0,0.0
2015-03-01 08:00:00,15.563270703516991,39.9771870552084,31.06666667,20.0,8.4,1011.866667,-1.533333333,4.666666667,2.0,0.6,12.0,0.0
2015-03-01 08:15:00,15.557766596796329,39.97707821979772,31.2,19.65,8.1,1011.825,-1.275,4.5,2.0,0.6,12.0,0.0
2015-03-01 08:30:00,15.552149253757957,39.976970591492346,31.33333333,19.3,7.8,1011.783333,-1.016666667,4.333333333,2.0,0.6,12.0,0.0
2015-03-01 08:45:00,15.546425777920632,39.97686418140903,31.46666667,18.95,7.5,1011.741667,-0.7583333329999999,4.166666667,2.0,0.6,12.0,0.0
2015-03-01 09:00:00,15.540603272803118,39.976759000664494,31.6,18.6,7.2,1011.7,-0.5,4.0,2.0,0.6,12.0,0.0
2015-03-01 09:15:00,15.53468884192418,39.97665506037543,31.3,18.43333333,7.2,1011.8,-0.358333333,4.0,2.0,0.6,11.83333333,0.0
2015-03-01 09:30:00,15.528689588802585,39.97655237165858,31.0,18.26666667,7.2,1011.9,-0.216666667,4.0,2.0,0.6,11.66666667,0.0
2015-03-01 09:45:00,15.522612616957085,39.97645094563063,30.7,18.1,7.2,1012.0,-0.075,4.0,2.0,0.6,11.5,0.0
2015-03-01 10:00:00,15.516465029906444,39.97635079340833,30.4,17.93333333,7.2,1012.1,0.066666667,4.0,2.0,0.6,11.33333333,0.0
2015-03-01 10:15:00,15.510253931169428,39.97625192610836,30.1,17.76666667,7.2,1012.2,0.208333333,4.0,2.0,0.6,11.16666667,0.0
2015-03-01 10:30:00,15.50398642426481,39.97615435484748,29.8,17.6,7.2,1012.3,0.35,4.0,2.0,0.6,11.0,0.0
2015-03-01 10:45:00,15.497669612711336,39.976058090742356,29.5,17.43333333,7.2,1012.4,0.4916666670000001,4.0,2.0,0.6,10.83333333,0.0
2015-03-01 11:00:00,15.491310600027775,39.97596314490975,29.2,17.26666667,7.2,1012.5,0.6333333329999999,4.0,2.0,0.6,10.66666667,0.0
2015-03-01 11:15:00,15.484916489732894,39.97586952846636,28.9,17.1,7.2,1012.6,0.775,4.0,2.0,0.6,10.5,0.0
2015-03-01 11:30:00,15.478494385345455,39.975777252528864,28.6,16.93333333,7.2,1012.7,0.916666667,4.0,2.0,0.6,10.33333333,0.0
2015-03-01 11:45:00,15.472051390384204,39.97568632821404,28.3,16.76666667,7.2,1012.8,1.058333333,4.0,2.0,0.6,10.16666667,0.0
2015-03-01 12:00:00,15.465594608367931,39.97559676663858,28.0,16.6,7.2,1012.9,1.2,4.0,2.0,0.6,10.0,0.0
