dt,statusN,statusS,tempC,windspeedMiles,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustMiles,feelsLikeC
2015-01-05 07:00:00,40.37940713922853,39.6660893751756,25.0,4.0,0.0,89.0,6.0,1012.0,41.0,29.0,23.0,25.0,6.0,29.0
2015-01-05 07:15:00,40.43418118865932,39.65113052784739,25.5,4.25,0.0,88.25,6.5,1012.25,41.75,29.5,23.25,25.5,6.0,29.5
2015-01-05 07:30:00,40.48988731484499,39.63635047907719,26.0,4.5,0.0,87.5,7.0,1012.5,42.5,30.0,23.5,26.0,6.0,30.0
2015-01-05 07:45:00,40.545818346988675,39.62198859622493,26.5,4.75,0.0,86.75,7.5,1012.75,43.25,30.5,23.75,26.5,6.0,30.5
2015-01-05 08:00:00,40.601267114293535,39.60828424665053,27.0,5.0,0.0,86.0,8.0,1013.0,44.0,31.0,24.0,27.0,6.0,31.0
2015-01-05 08:15:00,40.65552644596272,39.59547679771392,27.25,5.0,0.0,85.25,8.5,1013.0,44.5,31.5,24.25,27.25,6.0,31.5
2015-01-05 08:30:00,40.707889171199376,39.583805616774995,27.5,5.0,0.0,84.5,9.0,1013.0,45.0,32.0,24.5,27.5,6.0,32.0
2015-01-05 08:45:00,40.75764811920666,39.573510071193716,27.75,5.0,0.0,83.75,9.5,1013.0,45.5,32.5,24.75,27.75,6.0,32.5
2015-01-05 09:00:00,40.804096119187726,39.56482952833001,28.0,5.0,0.0,83.0,10.0,1013.0,46.0,33.0,25.0,28.0,6.0,33.0
2015-01-05 09:15:00,40.846526000345726,39.558003355543754,28.25,5.25,0.025,82.0,10.0,1012.75,46.75,33.5,25.0,28.25,6.25,33.5
2015-01-05 09:30:00,40.88423059188383,39.553270920194905,28.5,5.5,0.05,81.0,10.0,1012.5,47.5,34.0,25.0,28.5,6.5,34.0
2015-01-05 09:45:00,40.916502723005145,39.55087158964337,28.75,5.75,0.07500000000000001,80.0,10.0,1012.25,48.25,34.5,25.0,28.75,6.75,34.5
2015-01-05 10:00:00,40.94263522291289,39.55104473124909,29.0,6.0,0.1,79.0,10.0,1012.0,49.0,35.0,25.0,29.0,7.0,35.0
2015-01-05 16:00:00,37.856118825356326,40.94324434326766,32.0,7.0,0.0,74.0,10.0,1010.0,28.0,40.0,26.0,32.0,9.0,40.0
2015-01-05 16:15:00,37.420168007237116,41.07114882823709,31.75,7.0,0.0,74.75,10.0,1010.0,27.0,39.5,25.75,31.75,9.0,39.5
2015-01-05 16:30:00,36.88507445840699,41.1942310553659,31.5,7.0,0.0,75.5,10.0,1010.0,26.0,39.0,25.5,31.5,9.0,39.0
