dt,statusN,statusS,tempC,windspeedMiles,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustMiles,feelsLikeC
2015-03-01 00:00:00,15.57623566150315,15.497442159634275,24.0,4.0,0.0,85.0,10.0,1015.0,8.0,27.0,22.0,24.0,6.0,27.0
2015-03-01 00:15:00,15.575934958084481,15.497183875653866,24.0,4.0,0.0,85.25,10.0,1014.75,8.5,26.75,22.0,24.0,6.0,26.75
2015-03-01 00:30:00,15.575517979666055,15.4969306476806,24.0,4.0,0.0,85.5,10.0,1014.5,9.0,26.5,22.0,24.0,6.0,26.5
2015-03-01 00:45:00,15.574987414961223,15.496683055029573,24.0,4.0,0.0,85.75,10.0,1014.25,9.5,26.25,22.0,24.0,6.0,26.25
2015-03-01 01:00:00,15.574345952683313,15.496441677015884,24.0,4.0,0.0,86.0,10.0,1014.0,10.0,26.0,22.0,24.0,6.0,26.0
2015-03-01 01:15:00,15.573596281545624,15.496207092954615,24.0,4.0,0.0,86.25,10.0,1014.0,10.5,26.0,21.75,24.0,6.0,26.0
2015-03-01 01:30:00,15.572741090261507,15.495979882160876,24.0,4.0,0.0,86.5,10.0,1014.0,11.0,26.0,21.5,24.0,6.0,26.0
2015-03-01 01:45:00,15.571783067544274,15.49576062394975,24.0,4.0,0.0,86.75,10.0,1014.0,11.5,26.0,21.25,24.0,6.0,26.0
2015-03-01 02:00:00,15.570724902107262,15.495549897636336,24.0,4.0,0.0,87.0,10.0,1014.0,12.0,26.0,21.0,24.0,6.0,26.0
2015-03-01 02:15:00,15.569569282663796,15.495348282535724,23.75,4.0,0.0,87.25,10.0,1014.0,12.75,25.75,21.0,23.75,6.0,25.75
2015-03-01 02:30:00,15.568318897927199,15.495156357963008,23.5,4.0,0.0,87.5,10.0,1014.0,13.5,25.5,21.0,23.5,6.0,25.5
2015-03-01 02:45:00,15.566976436610794,15.494974703233293,23.25,4.0,0.0,87.75,10.0,1014.0,14.25,25.25,21.0,23.25,6.0,25.25
2015-03-01 03:00:00,15.565544587427926,15.494803897661662,23.0,4.0,0.0,88.0,10.0,1014.0,15.0,25.0,21.0,23.0,6.0,25.0
2015-03-01 03:15:00,15.564026039091905,15.494644520563204,23.25,4.0,0.0,87.5,10.0,1014.0,15.25,25.25,21.0,23.25,6.0,25.25
2015-03-01 03:30:00,15.56242348031606,15.494497151253036,23.5,4.0,0.0,87.0,10.0,1014.0,15.5,25.5,21.0,23.5,6.0,25.5
2015-03-01 03:45:00,15.560739599813724,15.49436236904623,23.75,4.0,0.0,86.5,10.0,1014.0,15.75,25.75,21.0,23.75,6.0,25.75
2015-03-01 04:00:00,15.558977086298215,15.494240753257893,24.0,4.0,0.0,86.0,10.0,1014.0,16.0,26.0,21.0,24.0,6.0,26.0
2015-03-01 04:15:00,15.557138628482873,15.494132883203108,24.0,4.0,0.0,85.75,10.0,1014.0,16.25,26.25,21.0,24.0,6.0,26.25
2015-03-01 04:30:00,15.555226915081006,15.494039190962631,24.0,4.0,0.0,85.5,10.0,1014.0,16.5,26.5,21.0,24.0,6.0,26.5
2015-03-01 04:45:00,15.553244634805957,15.493959519679866,24.0,4.0,0.0,85.25,10.0,1014.0,16.75,26.75,21.0,24.0,6.0,26.75
2015-03-01 05:00:00,15.55119447637105,15.493893565263836,24.0,4.0,0.0,85.0,10.0,1014.0,17.0,27.0,21.0,24.0,6.0,27.0
2015-03-01 05:15:00,15.549079128489605,15.493841023623595,24.25,4.0,0.0,84.5,10.0,1014.0,17.25,27.0,21.25,24.25,6.0,27.0
2015-03-01 05:30:00,15.54690127987496,15.493801590668205,24.5,4.0,0.0,84.0,10.0,1014.0,17.5,27.0,21.5,24.5,6.0,27.0
2015-03-01 05:45:00,15.544663619240424,15.493774962306695,24.75,4.0,0.0,83.5,10.0,1014.0,17.75,27.0,21.75,24.75,6.0,27.0
2015-03-01 06:00:00,15.542368835299339,15.493760834448125,25.0,4.0,0.0,83.0,10.0,1014.0,18.0,27.0,22.0,25.0,6.0,27.0
2015-03-01 06:15:00,15.540019616765035,15.493758903001527,25.25,4.0,0.0,81.25,10.0,1014.0,17.5,27.5,22.0,25.25,6.0,27.5
2015-03-01 06:30:00,15.53761865235082,15.493768863875964,25.5,4.0,0.0,79.5,10.0,1014.0,17.0,28.0,22.0,25.5,6.0,28.0
2015-03-01 06:45:00,15.535168630770034,15.493790412980466,25.75,4.0,0.0,77.75,10.0,1014.0,16.5,28.5,22.0,25.75,6.0,28.5
2015-03-01 07:00:00,15.532672240736007,15.493823246224096,26.0,4.0,0.0,76.0,10.0,1014.0,16.0,29.0,22.0,26.0,6.0,29.0
2015-03-01 07:15:00,15.530132170962059,15.493867059515884,26.5,4.25,0.0,74.25,10.0,1014.25,15.25,29.5,22.0,26.5,6.0,29.5
2015-03-01 07:30:00,15.52755111016152,15.493921548764892,27.0,4.5,0.0,72.5,10.0,1014.5,14.5,30.0,22.0,27.0,6.0,30.0
2015-03-01 07:45:00,15.524931747047713,15.493986409880169,27.5,4.75,0.0,70.75,10.0,1014.75,13.75,30.5,22.0,27.5,6.0,30.5
2015-03-01 08:00:00,15.522276770333967,15.494061338770745,28.0,5.0,0.0,69.0,10.0,1015.0,13.0,31.0,22.0,28.0,6.0,31.0
2015-03-01 08:15:00,15.519588868733615,15.494146031345675,28.5,5.0,0.0,67.25,10.0,1015.0,12.5,31.5,22.0,28.5,6.0,31.5
2015-03-01 08:30:00,15.516870730959972,15.49424018351401,29.0,5.0,0.0,65.5,10.0,1015.0,12.0,32.0,22.0,29.0,6.0,32.0
2015-03-01 08:45:00,15.514125045726367,15.494343491184795,29.5,5.0,0.0,63.75,10.0,1015.0,11.5,32.5,22.0,29.5,6.0,32.5
2015-03-01 09:00:00,15.511354501746139,15.494455650267072,30.0,5.0,0.0,62.0,10.0,1015.0,11.0,33.0,22.0,30.0,6.0,33.0
2015-03-01 09:15:00,15.508561787732608,15.494576356669896,30.25,5.25,0.0,60.5,10.0,1015.0,10.0,33.5,21.75,30.25,6.25,33.5
2015-03-01 09:30:00,15.505749592399088,15.494705306302304,30.5,5.5,0.0,59.0,10.0,1015.0,9.0,34.0,21.5,30.5,6.5,34.0
2015-03-01 09:45:00,15.502920604458925,15.494842195073351,30.75,5.75,0.0,57.5,10.0,1015.0,8.0,34.5,21.25,30.75,6.75,34.5
2015-03-01 10:00:00,15.500077512625435,15.494986718892081,31.0,6.0,0.0,56.0,10.0,1015.0,7.0,35.0,21.0,31.0,7.0,35.0
2015-03-01 10:15:00,15.497223005611946,15.495138573667536,31.5,6.25,0.0,54.75,10.0,1015.0,6.25,35.25,21.0,31.5,7.25,35.25
2015-03-01 10:30:00,15.494359772131787,15.495297455308776,32.0,6.5,0.0,53.5,10.0,1015.0,5.5,35.5,21.0,32.0,7.5,35.5
2015-03-01 10:45:00,15.491490500898287,15.495463059724832,32.5,6.75,0.0,52.25,10.0,1015.0,4.75,35.75,21.0,32.5,7.75,35.75
2015-03-01 11:00:00,15.488617880624773,15.495635082824759,33.0,7.0,0.0,51.0,10.0,1015.0,4.0,36.0,21.0,33.0,8.0,36.0
2015-03-01 11:15:00,15.485744600024564,15.495813220517604,33.25,7.0,0.0,49.5,10.0,1014.75,3.25,36.5,21.0,33.25,8.25,36.5
2015-03-01 11:30:00,15.48287334781099,15.495997168712414,33.5,7.0,0.0,48.0,10.0,1014.5,2.5,37.0,21.0,33.5,8.5,37.0
